State, city, max_price
,Monaco,1200.0
England,York,1200.0
Tel Aviv,Tel Aviv,1200.0
AR,Rogers,7500.0
Storstrom,Nakskov,1200.0
Ile-de-France,Rambouillet,1200.0
Krung Thep,Ban Khlong Sip,3600.0
CT,Weston,1200.0
VA,Potomac Falls,1200.0
MI,Howell,1200.0
WA,Clyde Hill,3600.0
CA,Sebastopol,3600.0
Wales,Penclawdd,3600.0
NJ,Corbin City,1200.0
NJ,Mickleton,1200.0
Frederiksborg,Helsingor,1200.0
MS,Olive Branch,7500.0
VI,St Thomas,3600.0
NJ,North Brunswick,1200.0
England,Blackpool,1200.0
Brussels (Bruxelles),Bruxelles,1200.0
IN,Cartersburg,3600.0
Zuid-Holland,Oegstgeest,3600.0
MA,Chelmsford,1200.0
Kobenhavn,Brondby Strand,1200.0
Aargau,Berikon,3600.0
Ontario,King City,1200.0
Ontario,North Bay,3600.0
TX,Coppell,1200.0
CA,Portola Valley,3600.0
Waterford,Tramore,1200.0
UT,Kearns,7500.0
England,Slough,1200.0
Ontario,Alcona,1200.0
CA,Woodland Hills,1200.0
NY,New York,3600.0
MA,Jamaica Plain,1200.0
Quebec,Montreal-Nord,1200.0
England,Guildford,3600.0
Sogn og Fjordane,Aardal,1200.0
Ontario,Orillia,1200.0
Meath,Baile Atha Bui,1200.0
CA,Yorba Linda,1200.0
OH,Columbus,1200.0
TX,Humble,1200.0
New South Wales,Vaucluse,1200.0
England,Headley,1200.0
TN,Memphis,1200.0
OR,Astoria,1200.0
Thuringia,Grossbodungen,1200.0
Lower Saxony,Oldenburg,1200.0
NJ,Clinton,1200.0
Stockholm,Stockholm,1200.0
Stockholm,Taby,1200.0
FL,Bryceville,1200.0
England,Liverpool,1200.0
NJ,Riverside,1200.0
Wicklow,Arklow,1200.0
KY,Owensboro,1200.0
England,Southampton,1200.0
Ontario,Mount Forest,1200.0
PA,Mechanics Grove,1200.0
NY,Skaneateles,7500.0
Meath,Julianstown,1200.0
CA,Rancho Cordova,1200.0
Cork,Ballincollig,1200.0
British Columbia,Fort Saint James,1200.0
CT,Newtown,1200.0
TX,MT Pleasant,1200.0
FL,Naples,1200.0
Bacs-Kiskun,Kecskemet,1200.0
CA,Valley Center,7500.0
ME,South Waterford,1200.0
FL,Fort Lauderdale,1200.0
HI,Honolulu,1200.0
Baden-Wurttemberg,Ludwigsburg,1200.0
Hainaut,La Louviere,1200.0
HI,Princeville,1200.0
TX,Baytown,1200.0
Buenos Aires,Ayacucho,1200.0
NY,Brooklyn,1200.0
Geneve,Plan-les-Ouattes,1200.0
South Australia,Lyndoch,1200.0
Luxembourg,Gasperich,1200.0
Saxony,Dresden,1200.0
NY,New Rochelle,1200.0
GA,Atlanta,1200.0
CA,Altadena,1200.0
Northern Ireland,Belfast,1200.0
PA,Danville,1200.0
Manitoba,Winnipeg,1200.0
FL,Margate,1200.0
Hamilton,Hamilton,1200.0
Dublin,Killiney,1200.0
GA,Cumming,1200.0
NV,Las Vegas,1200.0
Berlin,Berlin,1200.0
TN,Ooltewah,1200.0
England,Stockton-on-Tees,1200.0
Vienna,Inner City,1200.0
WI,Random Lake,1200.0
,San Pawl tat-Targa,3600.0
England,Bournemouth,1200.0
Lower Austria,Altlengbach,1200.0
CT,Cos Cob,1200.0
Santa Catarina,Mafra,1200.0
WA,Sammamish,1200.0
Franche-Comte,Besancon,1200.0
England,Sidcup,1200.0
Vaud,Morges,1200.0
TX,Richmond,1200.0
Lombardy,Milano,3600.0
GA,Hoschton,1200.0
Antwerpen,Antwerpen,1200.0
Bayern,Munich,3600.0
CO,Hghlnds Ranch,1200.0
